"OriginalFile","Category","NewFile","WebPath"
"10.jpg","climbing","climbing-workbook-01.jpg","/images/climbing/climbing-workbook-01.jpg"
"16.jpg","climbing","climbing-workbook-02.jpg","/images/climbing/climbing-workbook-02.jpg"
"2.jpg","climbing","climbing-workbook-03.jpg","/images/climbing/climbing-workbook-03.jpg"
"200816_JTP3807.jpg","climbing","climbing-workbook-04.jpg","/images/climbing/climbing-workbook-04.jpg"
"3.jpg","climbing","climbing-workbook-05.jpg","/images/climbing/climbing-workbook-05.jpg"
"12.jpg","landscape","landscape-workbook-01.jpg","/images/landscape/landscape-workbook-01.jpg"
"190728_JTP8696.jpg","landscape","landscape-workbook-02.jpg","/images/landscape/landscape-workbook-02.jpg"
"200209_JTP3047.jpg","landscape","landscape-workbook-03.jpg","/images/landscape/landscape-workbook-03.jpg"
"200628_JTP3614.jpg","landscape","landscape-workbook-04.jpg","/images/landscape/landscape-workbook-04.jpg"
"201019_JTP6059.jpg","landscape","landscape-workbook-05.jpg","/images/landscape/landscape-workbook-05.jpg"
